"block","model","N","deaths","subclinical_HR","subclinical_lower","subclinical_upper","albuminuria_HR","albuminuria_lower","albuminuria_upper"
"Covariate-omission robustness","Model 3 (full)",29675,3347,1.32361901828253,1.18177900699452,1.48248301517454,2.0932669287538,1.84219921762802,2.3785518922629
"Covariate-omission robustness","Omit BMI",29675,3347,1.32364820534802,1.18178407066676,1.48254204385453,2.09287611087944,1.84188249072355,2.37807267160088
"Covariate-omission robustness","Omit smoking",29675,3347,1.37434388328558,1.22982933850491,1.53584001485988,2.26318489872588,1.9950673213678,2.56733486181773
"Covariate-omission robustness","Omit diabetes",29675,3347,1.34600215550524,1.2001302770071,1.50960427991438,2.18655811418581,1.93527032005463,2.47047471206857
"Covariate-omission robustness","Omit BP-treatment category",29675,3347,1.3639032426324,1.22004077870708,1.52472940882725,2.18933127483459,1.93095832984102,2.48227595432548
"Covariate-omission robustness","Omit eGFR",29675,3347,1.35360251766284,1.21049746354321,1.51362545647976,2.13068616060173,1.87652744004459,2.41926838803479
"Covariate-omission robustness","Minimally adjusted (Model 2)",29675,3347,1.48314860198227,1.32906558477071,1.65509497858337,2.52801937727144,2.24925230682689,2.84133618645733
"Inflammatory-marker sensitivity","Model 3 + CBC",29624,3339,1.2984923742541,1.15641060579143,1.45803094294705,2.00814900057487,1.76691382195124,2.28231980440139
"Inflammatory-marker sensitivity","Model 3 + CBC + log standard CRP",16737,2855,1.30853653240285,1.15856937857256,1.47791568489623,1.83829298565719,1.60508126640408,2.10538941039866
"Inflammatory-marker sensitivity","Model 3 + CBC + log hs-CRP",6359,115,0.588390239608792,0.301735464823359,1.14737282960611,1.32921649285371,0.895431442231886,1.97314545988076
