"term","chisq","df","p","method"
"uacr_cat",3.42171345077716,2,0.180710906657502,"Unweighted Schoenfeld-residual test"
"age",25.6916748883866,1,4.00551260421602e-07,"Unweighted Schoenfeld-residual test"
"sex_female",9.87471862357585,1,0.00167565220199613,"Unweighted Schoenfeld-residual test"
"race_eth",5.19955310386263,4,0.267428034886188,"Unweighted Schoenfeld-residual test"
"cycle",2.44014709901559,1,0.11826513488265,"Unweighted Schoenfeld-residual test"
"bmi",7.72658172545768,1,0.00544136689877686,"Unweighted Schoenfeld-residual test"
"smoking",13.2393280906432,2,0.00133387899323553,"Unweighted Schoenfeld-residual test"
"dm_main",3.4783264370365,1,0.0621775924391043,"Unweighted Schoenfeld-residual test"
"bp_stage",26.4603988767803,5,7.26380698963131e-05,"Unweighted Schoenfeld-residual test"
"egfr",12.3038645580302,1,0.00045202139517246,"Unweighted Schoenfeld-residual test"
"GLOBAL",85.580500212952,19,1.99295440022917e-10,"Unweighted Schoenfeld-residual test"
