"row_type","label","HR","lower","upper","interaction_p","normal_events","normal_n","exposed_events","exposed_n","y","estimate_text","normal_text","exposed_text","interaction_text","lower_plot","upper_plot"
"section","Demographics",NA,NA,NA,NA,NA,NA,NA,NA,38,"","","","",0.22,4.8
"variable","Age, y",NA,NA,NA,0.00383141951403472,NA,NA,NA,NA,37,"","","","0.004",0.22,4.8
"level","   <60 years",2.41675028879599,1.89597344968512,3.08057159733196,NA,535,14658,156,1627,36,"2.42 (1.90-3.08)","  535/14,658","156/1,627","",1.89597344968512,3.08057159733196
"level","   >=60 years",1.8598662953819,1.62185106567898,2.13281152005745,NA,1088,5187,562,1403,35,"1.86 (1.62-2.13)","1,088/ 5,187","562/1,403","",1.62185106567898,2.13281152005745
"variable","Sex",NA,NA,NA,0.776366810054375,NA,NA,NA,NA,34,"","","","0.776",0.22,4.8
"level","   Men",2.18857342852796,1.86301923062581,2.57101675244095,NA,1016,10494,386,1396,33,"2.19 (1.86-2.57)","1,016/10,494","386/1,396","",1.86301923062581,2.57101675244095
"level","   Women",2.03156177882536,1.69644943057248,2.43287137642017,NA,607,9351,332,1634,32,"2.03 (1.70-2.43)","  607/ 9,351","332/1,634","",1.69644943057248,2.43287137642017
"variable","Race or ethnicity",NA,NA,NA,0.229176217802788,NA,NA,NA,NA,31,"","","","0.229",0.22,4.8
"level","   NH White",2.16950757440254,1.84392887139752,2.55257303489299,NA,950,9112,378,1123,30,"2.17 (1.84-2.55)","  950/ 9,112","378/1,123","",1.84392887139752,2.55257303489299
"level","   NH Black",1.7579363727056,1.41023532814877,2.19136496497931,NA,302,3720,131,650,29,"1.76 (1.41-2.19)","  302/ 3,720","131/  650","",1.41023532814877,2.19136496497931
"level","   Mexican American",1.74919052038523,1.27265398812988,2.40416287941832,NA,251,3426,132,671,28,"1.75 (1.27-2.40)","  251/ 3,426","132/  671","",1.27265398812988,2.40416287941832
"level","   Other Hispanic",1.65578380397589,0.953322350714348,2.87585831115205,NA,68,1726,46,283,27,"1.66 (0.95-2.88)","   68/ 1,726"," 46/  283","",0.953322350714348,2.87585831115205
"level","   Other/multiracial",2.31053208008917,1.0549596119317,5.06043874357043,NA,52,1861,31,303,26,"2.31 (1.05-5.06)","   52/ 1,861"," 31/  303","",1.0549596119317,4.8
"section","Cardiometabolic factors",NA,NA,NA,NA,NA,NA,NA,NA,25,"","","","",0.22,4.8
"variable","Body-mass index",NA,NA,NA,0.0919211924775425,NA,NA,NA,NA,24,"","","","0.092",0.22,4.8
"level","   Underweight",1.03017255224688,0.435595090461557,2.43633482250304,NA,35,170,25,66,23,"1.03 (0.44-2.44)","   35/   170"," 25/   66","",0.435595090461557,2.43633482250304
"level","   Normal weight",1.74301543997287,1.40518374911494,2.16206800420043,NA,472,5268,203,677,22,"1.74 (1.41-2.16)","  472/ 5,268","203/  677","",1.40518374911494,2.16206800420043
"level","   Overweight",2.19316596532948,1.77781484768398,2.70555561944244,NA,617,7443,235,908,21,"2.19 (1.78-2.71)","  617/ 7,443","235/  908","",1.77781484768398,2.70555561944244
"level","   Obesity",2.21367164122132,1.80889355986628,2.70902735455021,NA,499,6964,255,1379,20,"2.21 (1.81-2.71)","  499/ 6,964","255/1,379","",1.80889355986628,2.70902735455021
"variable","Glycemic status",NA,NA,NA,0.651649829592189,NA,NA,NA,NA,19,"","","","0.652",0.22,4.8
