"bp_category","uacr_category","N","deaths","incidence_rate_per_1000_py","adjusted_10y_risk_percent","risk_lower","risk_upper","HR_vs_global_reference","HR_lower","HR_upper","p_vs_global_reference"
"Non-elevated BP","Normal UACR (<10 mg/g)",7766,322,3.0441290736054,4.73138907435178,4.08441760627069,5.37836054243288,1,1,1,NA
"Elevated BP","Normal UACR (<10 mg/g)",2532,207,5.93689080352908,5.69630585846441,4.78041059453713,6.6122011223917,1.22499115777028,0.985847809006938,1.52214502371004,0.0670501440926955
"Stage 1 hypertension","Normal UACR (<10 mg/g)",3347,257,5.78121889990622,5.89568827173129,4.94594030683073,6.84543623663185,1.27243648611302,1.04360951814194,1.5514371832046,0.0172203191529034
"Stage 2 hypertension","Normal UACR (<10 mg/g)",1812,251,10.3164348073593,6.67604524356883,5.57971570298598,7.77237478415168,1.46135337975461,1.1640911725667,1.8345244348959,0.00107770315200496
"Treated - Controlled","Normal UACR (<10 mg/g)",2065,245,9.90349262358628,6.22774628964572,5.22555789530643,7.22993468398501,1.35219304067708,1.06623587699191,1.7148419582484,0.0128093701216862
"Treated - Uncontrolled","Normal UACR (<10 mg/g)",2323,341,12.1454857683079,6.77839236401497,5.94524207677884,7.61154265125111,1.4865165075881,1.25521042622662,1.76044691882839,4.34758727918574e-06
"Non-elevated BP","Low-grade albuminuria (10-29 mg/g)",1713,117,5.4395741055308,6.9481338957251,5.66319156311764,8.23307622833256,1.52844912950134,1.20552237109914,1.93787921110365,0.000459194426554984
"Elevated BP","Low-grade albuminuria (10-29 mg/g)",703,105,11.3582727132772,8.21062165276452,6.3410701126012,10.0801731929278,1.84830795739848,1.40210863877767,2.43650328576589,1.31556329421828e-05
"Stage 1 hypertension","Low-grade albuminuria (10-29 mg/g)",983,117,8.95456171013934,7.27833750637843,5.8339566872704,8.72271832548647,1.61074176306524,1.2886091525119,2.01340260716375,2.82366196128376e-05
"Stage 2 hypertension","Low-grade albuminuria (10-29 mg/g)",1056,209,17.2888079843385,8.45934177670129,7.02166448196793,9.89701907143465,1.9130158561186,1.55035938867878,2.36050408214054,1.4606398546661e-09
"Treated - Controlled","Low-grade albuminuria (10-29 mg/g)",860,149,17.9080938306833,7.78396349642431,6.05356496879307,9.51436202405556,1.7386186515927,1.28378479382263,2.35459621442101,0.000351031037207407
"Treated - Uncontrolled","Low-grade albuminuria (10-29 mg/g)",1485,309,20.2616721765211,8.11880404189899,6.94671560970391,9.29089247409407,1.82456327792498,1.49486988317076,2.22697051604998,3.34539428024016e-09
"Non-elevated BP","Albuminuria (>=30 mg/g)",483,46,8.44459717325166,8.88585632630553,6.08579507222548,11.6859175803856,2.02530839250423,1.38261786810042,2.9667445932719,0.000290811361747473
"Elevated BP","Albuminuria (>=30 mg/g)",251,48,16.6111477680719,10.3664423455038,6.51116407236003,14.2217206186475,2.42850380458189,1.55019111737387,3.80445395588364,0.000107063149093861
"Stage 1 hypertension","Albuminuria (>=30 mg/g)",388,63,13.3477428380848,9.92178671874817,7.3210282135724,12.5225452239239,2.30519034553504,1.65030515814492,3.2199514755933,9.68709671828808e-07
"Stage 2 hypertension","Albuminuria (>=30 mg/g)",572,176,32.2658130634522,11.8877692185365,9.6706540864289,14.1048843506441,2.86539896435447,2.22632239039476,3.68792554948334,2.93402330662017e-16
"Treated - Controlled","Albuminuria (>=30 mg/g)",374,85,24.3420610503785,11.3937697621929,8.8104904804763,13.9770490439094,2.72094040170067,1.99668896316585,3.70789682628804,2.31066473099486e-10
"Treated - Uncontrolled","Albuminuria (>=30 mg/g)",962,300,37.8713738880604,13.7470335516043,11.9300356582165,15.5640314449922,3.43240941715246,2.76359159998098,4.26308807967065,6.94281037269263e-29
