"bp_category","comparison","HR","HR_lower","HR_upper","p","ARD_percentage_points","ARD_lower","ARD_upper"
"Non-elevated BP","Low-grade albuminuria (10-29 mg/g) vs Normal UACR (<10 mg/g)",1.52844912950134,1.20552237109914,1.93787921110365,0.000459194426554984,2.21674482137331,0.856673917726606,3.57681572502002
"Non-elevated BP","Albuminuria (>=30 mg/g) vs Normal UACR (<10 mg/g)",2.02530839250423,1.38261786810042,2.9667445932719,0.000290811361747473,4.15446725195374,1.32745961614551,6.98147488776198
"Elevated BP","Low-grade albuminuria (10-29 mg/g) vs Normal UACR (<10 mg/g)",1.50883371334922,1.14841107917352,1.98237305075251,0.00314098601910607,2.5143157943001,0.658975667347454,4.36965592125275
"Elevated BP","Albuminuria (>=30 mg/g) vs Normal UACR (<10 mg/g)",1.98246639510626,1.24852479973952,3.14785337747842,0.00372170150714353,4.67013648703935,0.756497882730807,8.58377509134789
"Stage 1 hypertension","Low-grade albuminuria (10-29 mg/g) vs Normal UACR (<10 mg/g)",1.26587203419926,0.963576867787698,1.66300381478317,0.0903687519212183,1.38264923464714,-0.279476934319413,3.0447754036137
"Stage 1 hypertension","Albuminuria (>=30 mg/g) vs Normal UACR (<10 mg/g)",1.81163489941791,1.27645617384093,2.57119756717784,0.000880150633950678,4.02609844701688,1.28430308123894,6.76789381279481
"Stage 2 hypertension","Low-grade albuminuria (10-29 mg/g) vs Normal UACR (<10 mg/g)",1.30907135989231,1.01230566305097,1.69283635154773,0.0400525597965486,1.78329653313246,0.035160109705004,3.53143295655992
"Stage 2 hypertension","Albuminuria (>=30 mg/g) vs Normal UACR (<10 mg/g)",1.96078443725612,1.50867892809,2.54837231289045,4.77789955576865e-07,5.21172397496766,2.91769016377039,7.50575778616493
"Treated - Controlled","Low-grade albuminuria (10-29 mg/g) vs Normal UACR (<10 mg/g)",1.28577695587173,0.948772030565792,1.74248642138499,0.10504588464765,1.5562172067786,-0.417440464373235,3.52987487793043
"Treated - Controlled","Albuminuria (>=30 mg/g) vs Normal UACR (<10 mg/g)",2.01224257176936,1.43106672101907,2.8294419178147,5.79311895352812e-05,5.16602347254713,2.2981851792598,8.03386176583446
"Treated - Uncontrolled","Low-grade albuminuria (10-29 mg/g) vs Normal UACR (<10 mg/g)",1.22740868911397,1.00729191625579,1.49562610977005,0.0421521916349899,1.34041167788401,0.00401276074048762,2.67681059502754
"Treated - Uncontrolled","Albuminuria (>=30 mg/g) vs Normal UACR (<10 mg/g)",2.30902879290698,1.88108020519626,2.83433633066019,1.22928070146392e-15,6.96864118758936,5.02775281499853,8.9095295601802
